,State,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,"CO2
(Metric Tons)","SO2
(Metric Tons)","NOx
(Metric Tons)",Allowances Sold,Auction Proceeds,Price
0,MN,68411.0,5527358.0,37.9,36245.0,547442.0,119218.0,119220500,95976,106992,,,
1,NH,74057.0,1343622.0,42.7,38548.0,102352.0,30392.0,8762252,5392,10000,"3,151,333","13,878,414",4.403982061
2,NJ,79363.0,8881845.0,39.8,40895.0,904132.0,285084.0,75646992,12280,40292,0,0,0
3,NY,65323.0,19618453.0,38.7,37470.0,2797985.0,602636.0,111745556,42980,115744,"21,294,281","94,014,250",4.414999971
4,RI,63296.0,1056611.0,39.9,34619.0,133055.0,34479.0,13391436,248,7540,"979,549","4,316,294",4.40640948
5,VT,60076.0,624977.0,42.9,33238.0,67034.0,13878.0,39904,188,1948,"443,346","1,957,372",4.414998669
6,WA,70116.0,7294336.0,37.6,36888.0,821621.0,198330.0,42643396,43376,56532,,,
7,CA,71228.0,39148760.0,36.3,35021.0,5487141.0,1321502.0,174315472,5276,268588,,,
8,CO,68811.0,5531141.0,36.6,36415.0,590504.0,139326.0,138851576,42592,77700,,,
9,CT,76106.0,3581504.0,40.8,43056.0,348449.0,125909.0,38365936,3532,24176,"3,801,530","16,755,430",4.407548995
10,DE,65627.0,949495.0,40.2,33989.0,109798.0,28501.0,12772692,2356,6292,"2,761,772","12,193,223",4.414999862
11,IL,63575.0,12821497.0,37.9,34463.0,1635603.0,437139.0,289043112,320188,147668,,,
12,ME,55425.0,1332813.0,44.6,31253.0,161743.0,32203.0,8806432,29220,23868,"2,054,315","9,031,936",4.396568199
13,MD,81868.0,6003435.0,38.6,40517.0,553496.0,181089.0,71357280,73832,47184,"9,520,767","41,857,508",4.39644285
14,MA,77378.0,6830193.0,39.4,41794.0,710305.0,203464.0,39903644,10044,33808,"9,520,767","41,857,508",4.39644285
